state,county,month.index,avg.temp,lat,lng,type,cases
MN,morrison county,4,36.7,46.0126,-94.2684,poultry,624900
MN,morrison county,9,61.4,46.0126,-94.2684,poultry,50200
MN,todd county,4,35.9,46.0706,-94.8976,poultry,117100
MN,todd county,11,30.6,46.0706,-94.8976,poultry,44500
ND,dickey county,3,27.6,46.1102,-98.5047,poultry,30
ND,dickey county,4,35.2,46.1102,-98.5047,poultry,60700
ND,richland county,4,36.6,46.2646,-96.9483,poultry,27520
MT,granite county,11,21.5,46.4045,-113.4404,poultry,40
MN,otter tail county,4,35,46.4088,-95.708,poultry,122600
MN,otter tail county,9,61.4,46.4088,-95.708,poultry,13800
MN,otter tail county,11,28.8,46.4088,-95.708,poultry,28200
ND,ransom county,9,61.2,46.4562,-97.6574,poultry,69100
ND,lamoure county,4,35,46.4569,-98.5355,poultry,78300
MN,crow wing county,5,55.5,46.4824,-94.0709,poultry,150
WA,franklin county,12,24.8,46.5347,-118.8989,poultry,1015500
WA,pacific county,5,50.7,46.5557,-123.7041,poultry,40
MN,wadena county,12,12.5,46.5857,-94.9694,poultry,298100
MN,becker county,4,33.4,46.9346,-95.674,poultry,44700
MN,becker county,9,59.7,46.9346,-95.674,poultry,17100
ND,barnes county,4,35,46.9361,-98.0715,poultry,90
ND,stutsman county,4,33.8,46.9793,-98.9588,poultry,60
ND,kidder county,3,26.5,46.9801,-99.7801,poultry,30
MT,cascade county,4,35,47.308,-111.347,poultry,22000
WA,king county,6,55.9,47.4902,-121.8052,poultry,50
WA,king county,7,64.7,47.4902,-121.8052,poultry,220
MT,teton county,9,58.6,47.8372,-112.2406,poultry,2800
WA,snohomish county,7,63.4,48.0475,-121.6975,poultry,340
WA,snohomish county,12,31.3,48.0475,-121.6975,poultry,180
ND,ward county,9,60.9,48.2217,-101.5418,poultry,60
ND,ward county,11,22.9,48.2217,-101.5418,poultry,20
ND,mchenry county,6,64.9,48.2346,-100.6363,poultry,30
MT,glacier county,4,32.9,48.7051,-112.9948,poultry,54200
MN,roseau county,9,57.8,48.7751,-95.8108,poultry,116000
ND,bottineau county,11,22.1,48.7922,-100.8333,poultry,130
AK,matanuska-susitna borough,10,28.7,62.3155,-149.5728,poultry,1010
